symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
300033,同花顺,证券,neutral,59.94,59.94,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,59.85,0.9,58.18181818181818,hold,PE_TTM,100.0
300059,东方财富,证券,neutral,73.78,73.78,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.74,0.9,6.528925619834711,strong_buy,PE_TTM,100.0
300122,智飞生物,医药,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300124,汇川技术,电力设备,neutral,54.29,54.29,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,44.77,0.9,73.14049586776859,avoid,PE_TTM,100.0
300251,光线传媒,传媒,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300274,阳光电源,军工,neutral,61.34,61.34,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,63.57,0.9,53.71900826446281,hold,PE_TTM,100.0
300308,中际旭创,科技,neutral,41.22,41.22,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,9.92,0.9,94.04958677685951,avoid,PE_TTM,100.0
300316,晶盛机电,电力设备,neutral,37.65,37.65,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.41,0.9,99.75206611570248,avoid,PE_TTM,100.0
300347,泰格医药,医药,neutral,58.96,58.96,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,57.23,0.9,61.32231404958678,hold,PE_TTM,100.0
300394,天孚通信,科技,neutral,37.91,37.91,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.1,0.9,99.3388429752066,avoid,PE_TTM,100.0
300408,三环集团,电子,neutral,37.86,37.86,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.96,0.9,99.42148760330578,avoid,PE_TTM,100.0
300413,芒果超媒,传媒,neutral,57.98,57.98,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,54.61,0.9,64.46280991735537,hold,PE_TTM,100.0
300418,昆仑万维,科技,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300433,蓝思科技,科技,neutral,42.49,42.49,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,13.3,0.9,92.01834862385321,avoid,PE_TTM,100.0
300442,润泽科技,科技,neutral,62.44,62.44,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.52,0.9,50.173812282734644,hold,PE_TTM,100.0
300476,胜宏科技,科技,neutral,42.51,42.51,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,13.36,0.9,91.98347107438016,avoid,PE_TTM,100.0
300498,温氏股份,农业,neutral,49.25,49.25,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,31.34,0.9,81.19891008174388,avoid,PE_TTM,100.0
